INFO:main.py:line 10:  Initiated program
URL-UPDATE:main.py:line 56:  Started gathering for https://google.com/.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): google.com:443
DEBUG:connectionpool.py:line 437:  https://google.com:443 "GET / HTTP/1.1" 301 220
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET / HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for https://google.com/.
INFO:main.py:line 150:  Start get URLS for https://google.com/
INFO:main.py:line 166:  End get URLS for https://google.com/
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://www.google.com/imghp.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /imghp HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for https://www.google.com/imghp.
INFO:main.py:line 150:  Start get URLS for https://www.google.com/imghp
INFO:main.py:line 166:  End get URLS for https://www.google.com/imghp
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://maps.google.com/maps.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): maps.google.com:443
DEBUG:connectionpool.py:line 437:  https://maps.google.com:443 "GET /maps HTTP/1.1" 302 224
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): www.google.com:443
DEBUG:connectionpool.py:line 437:  https://www.google.com:443 "GET /maps HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for https://maps.google.com/maps.
INFO:main.py:line 150:  Start get URLS for https://maps.google.com/maps
INFO:main.py:line 166:  End get URLS for https://maps.google.com/maps
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
URL-UPDATE:main.py:line 56:  Started gathering for https://play.google.com/.
DEBUG:connectionpool.py:line 959:  Starting new HTTPS connection (1): play.google.com:443
DEBUG:connectionpool.py:line 437:  https://play.google.com:443 "GET / HTTP/1.1" 302 0
DEBUG:connectionpool.py:line 437:  https://play.google.com:443 "GET /store HTTP/1.1" 200 None
URL-UPDATE:main.py:line 83:  Finished gathering for https://play.google.com/.
INFO:main.py:line 150:  Start get URLS for https://play.google.com/
INFO:main.py:line 166:  End get URLS for https://play.google.com/
DEPTH-CHANGE:main.py:line 200:  Changed by -1. From 1 to 0.
DEPTH-CHANGE:main.py:line 191:  Changed by +1. From 0 to 1.
